lab,number_of_women_with_test,number_of_pregnancies_with_test,total_2010,first_2010,first_preg,gw_n,preterm_percent,gw_5,gw_10,gw_25,gw_50,gw_75,gw_90,gw_95,c_section_n,c_section_percent
CHOLESTEROL_HDL_RATIO,9985,10656,2947,1850,0.627757041058704,1198,0.140233722871452,36,37,38,39,40,41,41,2068,0.194069069069069
M.ALBUM_CREAT_RATIO,3912,4091,3214,1623,0.504978220286248,2497,0.174609531437725,36,37,38,39,40,41,41,952,0.232705939868003
BILIRUBIN_INDIRECT,41034,57603,43207,19594,0.453491332422987,34541,0.132538143076344,37,37,38,39,40,41,41,10319,0.179139975348506
GLOBULIN,51245,63656,40188,19919,0.495645466308351,32287,0.153343450924521,36,37,38,39,40,41,41,13927,0.218785346236019
SEDIMENTATION_RATE,12548,13565,7928,4241,0.534939455095863,5616,0.125534188034188,37,37,38,39,40,41,41,2511,0.185108735716919
CREATININE_URINE_SAMPLE,8941,9583,7418,3904,0.526287409005123,6069,0.212226066897347,36,37,38,39,40,41,41,2602,0.271522487738704
MICROALBU_U_SAMP,4061,4246,3311,1663,0.502265176683781,2637,0.167993932499052,36,37,38,39,40,41,41,996,0.234573716439001
NON_HDL_CHOLESTEROL,56520,69233,63932,32740,0.512106613276607,50448,0.127894069140501,37,37,38,39,40,41,41,11878,0.171565582886774
C_REACTIVE_PROTEIN_CRP,12803,13483,11502,5704,0.495913754129717,10021,0.135116255862688,37,37,38,39,40,41,41,2455,0.182081139212341
FERRITIN,45981,54410,42424,22667,0.53429662455214,34236,0.11782918565253,37,37,38,39,40,41,41,9303,0.170979599338357
SPECIFIC_GRAVITY,136938,206079,125987,65334,0.518577313532349,97151,0.11617996726745,37,37,38,39,40,41,41,35778,0.173613031895535
LEUCOCYTES,72193,90693,60144,32304,0.537110933758978,46936,0.112237941026078,37,37,38,39,40,41,41,14245,0.157068351471448
RBC_calculated_urine_strip,43330,52840,32019,18792,0.586901527218214,24429,0.128044537230341,37,37,38,39,40,41,41,10634,0.201249053747161
PH_u,135324,204347,124793,64023,0.513033583614466,96146,0.113993301853431,37,37,38,39,40,41,41,35006,0.171306649963053
lab.fasting_glucose,148480,235595,151347,75972,0.501972288846162,118053,0.12267371434864,37,37,38,39,40,41,41,41357,0.175542774676882
lab.potassium,125136,184853,119440,59635,0.49928834561286,94050,0.129686337054758,37,37,38,39,40,41,41,35797,0.193651171471385
lab.rdw,159656,294167,181637,81961,0.451235155832787,140885,0.119508819249743,37,37,38,39,40,41,41,47353,0.160973188698936
lab.sodium,124545,185963,120414,59112,0.490906373013105,94804,0.128159149402979,37,37,38,39,40,41,41,36100,0.194124637696746
marker.BMI,98989,131282,100964,55784,0.552513767283388,77254,0.123605250213581,37,37,38,39,40,41,41,22596,0.172118035983608
marker.bp.high,125565,188020,134769,69704,0.517210931297257,105342,0.117607412048376,37,37,38,39,40,41,41,31693,0.168561855121796
marker.bp.low,126542,190042,135476,70018,0.516829549145236,105889,0.11767039069214,37,37,38,39,40,41,41,32080,0.16880479051999
